customer_id,age,totalprice,quantity,transaction_count,cluster,label,age_scaled,totalprice_scaled,customer_count,avg_age,avg_totalprice,cluster_value_score
C100041,50,2700.72,3,1,1,Khách hàng vãng lai,0.6274509803921569,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100096,40,2700.72,3,1,1,Khách hàng vãng lai,0.43137254901960786,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100102,18,2700.72,3,1,1,Khách hàng vãng lai,0.0,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100148,63,2700.72,3,1,1,Khách hàng vãng lai,0.8823529411764707,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100176,54,2700.72,3,1,1,Khách hàng vãng lai,0.7058823529411765,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100235,66,2700.72,3,1,1,Khách hàng vãng lai,0.9411764705882354,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100298,31,2700.72,3,1,1,Khách hàng vãng lai,0.2549019607843137,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100336,55,2700.72,3,1,1,Khách hàng vãng lai,0.7254901960784313,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100386,66,2700.72,3,1,1,Khách hàng vãng lai,0.9411764705882354,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100410,58,2700.72,3,1,1,Khách hàng vãng lai,0.7843137254901961,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100441,35,2700.72,3,1,1,Khách hàng vãng lai,0.33333333333333337,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100455,45,2700.72,3,1,1,Khách hàng vãng lai,0.5294117647058824,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100508,22,2700.72,3,1,1,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100572,29,2700.72,3,1,1,Khách hàng vãng lai,0.21568627450980393,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100639,44,2700.72,3,1,1,Khách hàng vãng lai,0.5098039215686275,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100648,25,2700.72,3,1,1,Khách hàng vãng lai,0.13725490196078433,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100654,19,2700.72,3,1,1,Khách hàng vãng lai,0.019607843137254943,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100676,26,2700.72,3,1,1,Khách hàng vãng lai,0.1568627450980392,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100677,51,2700.72,3,1,1,Khách hàng vãng lai,0.6470588235294118,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100720,52,2700.72,3,1,1,Khách hàng vãng lai,0.6666666666666666,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100758,56,2700.72,3,1,1,Khách hàng vãng lai,0.7450980392156864,0.41202528259490523,75612,43.4148,651.3849,-0.1
C100764,54,2700.72,3,1,1,Khách hàng vãng lai,0.7058823529411765,0.41202528259490523,75612,43.4148,651.3849,-0.1
