customer_id,age,totalprice,quantity,transaction_count,cluster,label,age_scaled,totalprice_scaled,customer_count,avg_age,avg_totalprice,cluster_value_score
C100096,40,2700.72,3,1,0,Khách hàng vãng lai,0.43137254901960786,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100102,18,2700.72,3,1,0,Khách hàng vãng lai,0.0,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100298,31,2700.72,3,1,0,Khách hàng vãng lai,0.2549019607843137,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100441,35,2700.72,3,1,0,Khách hàng vãng lai,0.33333333333333337,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100508,22,2700.72,3,1,0,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100572,29,2700.72,3,1,0,Khách hàng vãng lai,0.21568627450980393,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100639,44,2700.72,3,1,0,Khách hàng vãng lai,0.5098039215686275,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100648,25,2700.72,3,1,0,Khách hàng vãng lai,0.13725490196078433,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100654,19,2700.72,3,1,0,Khách hàng vãng lai,0.019607843137254943,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100676,26,2700.72,3,1,0,Khách hàng vãng lai,0.1568627450980392,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100936,32,2700.72,3,1,0,Khách hàng vãng lai,0.27450980392156865,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C100952,39,2700.72,3,1,0,Khách hàng vãng lai,0.4117647058823529,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101100,25,2700.72,3,1,0,Khách hàng vãng lai,0.13725490196078433,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101227,30,2700.72,3,1,0,Khách hàng vãng lai,0.23529411764705888,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101397,25,2700.72,3,1,0,Khách hàng vãng lai,0.13725490196078433,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101412,30,2700.72,3,1,0,Khách hàng vãng lai,0.23529411764705888,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101413,40,2700.72,3,1,0,Khách hàng vãng lai,0.43137254901960786,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101420,31,2700.72,3,1,0,Khách hàng vãng lai,0.2549019607843137,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101423,35,2700.72,3,1,0,Khách hàng vãng lai,0.33333333333333337,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101452,31,2700.72,3,1,0,Khách hàng vãng lai,0.2549019607843137,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101484,42,2700.72,3,1,0,Khách hàng vãng lai,0.47058823529411764,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101595,22,2700.72,3,1,0,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101871,22,2700.72,3,1,0,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101958,18,2700.72,3,1,0,Khách hàng vãng lai,0.0,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C101995,24,2700.72,3,1,0,Khách hàng vãng lai,0.11764705882352944,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102098,19,2700.72,3,1,0,Khách hàng vãng lai,0.019607843137254943,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102125,22,2700.72,3,1,0,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102151,42,2700.72,3,1,0,Khách hàng vãng lai,0.47058823529411764,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102176,43,2700.72,3,1,0,Khách hàng vãng lai,0.4901960784313726,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102247,36,2700.72,3,1,0,Khách hàng vãng lai,0.3529411764705882,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102282,18,2700.72,3,1,0,Khách hàng vãng lai,0.0,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102426,34,2700.72,3,1,0,Khách hàng vãng lai,0.3137254901960784,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102449,22,2700.72,3,1,0,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102492,44,2700.72,3,1,0,Khách hàng vãng lai,0.5098039215686275,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102506,44,2700.72,3,1,0,Khách hàng vãng lai,0.5098039215686275,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102511,32,2700.72,3,1,0,Khách hàng vãng lai,0.27450980392156865,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102522,22,2700.72,3,1,0,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102547,26,2700.72,3,1,0,Khách hàng vãng lai,0.1568627450980392,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102783,28,2700.72,3,1,0,Khách hàng vãng lai,0.1960784313725491,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102832,41,2700.72,3,1,0,Khách hàng vãng lai,0.4509803921568628,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C102978,26,2700.72,3,1,0,Khách hàng vãng lai,0.1568627450980392,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103013,28,2700.72,3,1,0,Khách hàng vãng lai,0.1960784313725491,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103194,36,2700.72,3,1,0,Khách hàng vãng lai,0.3529411764705882,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103333,21,2700.72,3,1,0,Khách hàng vãng lai,0.05882352941176472,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103405,31,2700.72,3,1,0,Khách hàng vãng lai,0.2549019607843137,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103434,36,2700.72,3,1,0,Khách hàng vãng lai,0.3529411764705882,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103669,19,2700.72,3,1,0,Khách hàng vãng lai,0.019607843137254943,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103768,32,2700.72,3,1,0,Khách hàng vãng lai,0.27450980392156865,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103821,28,2700.72,3,1,0,Khách hàng vãng lai,0.1960784313725491,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103909,32,2700.72,3,1,0,Khách hàng vãng lai,0.27450980392156865,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103944,42,2700.72,3,1,0,Khách hàng vãng lai,0.47058823529411764,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C103982,37,2700.72,3,1,0,Khách hàng vãng lai,0.37254901960784315,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104136,36,2700.72,3,1,0,Khách hàng vãng lai,0.3529411764705882,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104300,19,2700.72,3,1,0,Khách hàng vãng lai,0.019607843137254943,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104331,36,2700.72,3,1,0,Khách hàng vãng lai,0.3529411764705882,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104347,39,2700.72,3,1,0,Khách hàng vãng lai,0.4117647058823529,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104431,43,2700.72,3,1,0,Khách hàng vãng lai,0.4901960784313726,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104512,26,2700.72,3,1,0,Khách hàng vãng lai,0.1568627450980392,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104514,37,2700.72,3,1,0,Khách hàng vãng lai,0.37254901960784315,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104601,22,2700.72,3,1,0,Khách hàng vãng lai,0.07843137254901966,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104690,32,2700.72,3,1,0,Khách hàng vãng lai,0.27450980392156865,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104778,40,2700.72,3,1,0,Khách hàng vãng lai,0.43137254901960786,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C104794,30,2700.72,3,1,0,Khách hàng vãng lai,0.23529411764705888,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C105012,33,2700.72,3,1,0,Khách hàng vãng lai,0.2941176470588236,0.41202528259490523,38230,30.5721,655.7984,-0.0987
C105019,28,2700.72,3,1,0,Khách hàng vãng lai,0.1960784313725491,0.41202528259490523,38230,30.5721,655.7984,-0.0987
